Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
1,13,John Powers,5.4,Old Glory DC,NOLA,73,0,0,0,0,0,0,0,0,0,0,3,41,37,12,0,1,0,0,3,2,67,6,1,5,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,13,Marcel Brache,4.1,San Diego Legion,SEA,78,0,0,0,0,0,0,0,0,0,0,1,10,6,6,0,0,0,1,2,1,50,4,0,13,10,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
1,13,Mark O'Keeffe,5.4,Chicago Hounds,MIA,83,0,0,0,0,0,0,0,0,0,0,4,52,44,11,1,3,0,1,2,1,50,0,0,1,0,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1,13,Mitch Richardson,9.5,Dallas Jackals,LA,83,5,1,0,0,0,0,0,0,0,0,4,17,14,3,1,2,0,2,1,1,100,5,1,8,7,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,13,Ross Depperschmidt,5.8,NOLA Gold,OGDC,78,0,0,0,0,0,0,0,0,0,0,3,24,21,7,0,2,0,0,4,4,100,8,4,14,14,0,0,0,0,0,4,3,0,2,0,0,1,0,0,0,0,0,0
1,13,Spencer Jones,13.1,Utah Warriors,HOU,82,5,1,0,0,0,0,0,0,0,0,8,67,58,7,1,5,0,2,9,9,100,12,1,7,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,13,Tautalatasi Tasi,23.6,Houston Sabercats,UTAH,82,5,1,0,0,0,0,0,0,0,0,5,93,90,18,1,2,1,1,2,2,100,6,3,23,22,1,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0
1,13,Tavite Lopeti,15.6,Seattle Seawolves,SDL,78,5,1,0,0,0,0,0,0,0,0,8,84,76,10,1,4,0,2,0,0,0,6,0,6,5,1,0,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0
1,13,Tomas Inciarte,4.2,Miami Sharks,CHI,83,0,0,0,0,0,0,0,0,0,0,7,36,25,4,0,4,1,0,2,2,100,3,0,10,9,1,0,2,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
2,13,Ben LeSage,16.3,New England Free Jacks,OGDC,82,5,1,0,0,0,0,0,0,0,0,7,69,66,9,1,4,2,0,0,0,0,3,0,16,14,2,0,1,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0
