id,Name,Team,Position,Points
165,San Diego Legion,SDL,DSP,26.60949238
166,Marno Redelinghuys,HOU,BR,99.09091815
167,Shane Barry,ARC,Bench,38.55608311
168,NOLA Gold,NOLA,DSP,26.50532145
169,Eric Naposki,MIA,Bench,38.35814447
170,Charlie Hewitt,SDL,Bench,38.33644603
171,Tevita Sole,NEFJ,Bench,38.25822541
172,Isaac Olson,NEFJ,Bench,38.19932663
173,Jackson Thiebes,NEFJ,Bench,37.94423298
174,Tyler Wong,UTAH,Bench,37.85923948
175,Djustice Sears-Duru,SDL,Bench,37.69603841
176,Will Leonard,LA,C,123.6881428
177,Dacoda Worth,OGDC,Bench,37.58623896
178,Matt Anticev,LA,Bench,37.39000706
179,Luke Campbell,NOLA,SH,123.2763517
180,Olajuwon Noa,SEA,BR,97.74437023
181,Brooklyn Hardaker,LA,B3,122.9871892
182,Fatongia Paea,UTAH,FR,97.38990322
183,Cassh Maluia,CHI,Bench,36.78488118
184,Guillermo Pujadas,CHI,Bench,36.36637632
185,Josh McAdam,MIA,Bench,36.31160816
186,James Vaifale,SDL,B3,122.054406
187,Dylan Fortune,ARC,BR,96.31618471
188,Maciu Koroi,NOLA,Bench,35.49564971
189,Sidney Shoop,CHI,Bench,35.48621727
190,Sean Yacoubian,ARC,Bench,35.4300644
191,Mason Koch,NEFJ,Bench,35.39607672
192,Michael Baska,CHI,Bench,35.3373464
193,Bruce Yun,LA,Bench,35.07997203
194,Jordan Chait,LA,FH,121.0300089
195,Setu Vole,MIA,Bench,35.00958116
196,Facundo Gattas,OGDC,FR,95.47422122
197,Chris Turori,SDL,Bench,34.83945886
198,Sam Walsh,CHI,Bench,34.83297365
199,Lauina Futi,SEA,B3,120.8205776
200,Sam Klimkowski,NOLA,Bench,34.7724807
201,Rhyno Herbst,SEA,SR,95.28053169
202,Emmanuel Albert,HOU,Bench,34.72256666
203,Michael Hand,CHI,B3,120.7182365
204,Shane O'Leary,MIA,B3,120.6968134
205,Matias Orlando,MIA,C,120.6440607
206,Bart Vermeulen,NOLA,Bench,34.61101331
207,Cameron Orr,SEA,FR,95.06751309
208,Sam Peri,CHI,Bench,34.51665131
209,Jeremiah Sio,SEA,Bench,34.48649318
210,Juan Dee Oliver,HOU,SH,120.4243823
211,Anthem Rugby Carolina,ARC,DSP,22.38690534
212,James Irey,NOLA,Bench,34.39828876
213,Jesse Hamilton,UTAH,B3,120.4068246
214,Collin Grosse,OGDC,BR,94.92598251
215,David Beach,MIA,Bench,34.33959174
216,Michael Etete,MIA,Bench,34.32866763
217,Valdemar Lee-Lo,HOU,Bench,34.29386437
218,Reece Botha,NOLA,Bench,34.28095707
219,Mateo Gadsden,ARC,C,120.2830311
220,Jonah Dietenberger,UTAH,Bench,34.23918062
221,Austin White,LA,Bench,33.67889343
222,Luke White,CHI,BR,93.95347729
223,Drake Davis,HOU,Bench,33.3876115
224,Bailey Wilson,UTAH,BR,93.84731237
225,Ben LeSage,NEFJ,C,119.3224501
226,Trent Rogers,NOLA,Bench,33.30696347
227,Kieran Farmer,OGDC,Bench,33.22771773
228,Christian Dyer,LA,B3,119.0976095
229,Sean Ralph,NEFJ,Bench,32.88736555
230,Darcy Breen,SDL,Bench,32.8100071
231,Koby Baker,SEA,Bench,32.76197426
